,symbol,name,price,dayHigh,dayLow,volume,open,close,time,SMA_5,SMA_10,BB_middle,BB_upper,BB_lower,RSI,MACD,Signal_Line,MACD_Histogram,volatility,Doji,Hammer,vd_positive_mean,vd_negative_mean,vd_neutral_mean,vd_compound_mean,fl_confidence_mean,vd_positive_med,vd_negative_med,vd_neutral_med,vd_compound_med,fl_confidence_med,NEGATIVE_x,POSITIVE_x,price_delta,fl_confidence_mean_delta,vd_compound_mean_delta,fl_confidence_med_delta,vd_compound_med_delta,NEGATIVE_y,POSITIVE_y,POSITIVE_delta
11,BTC,Bitcoin USD,71139.18,71500.0,69705.76,41397597358.07814,69911.74,69911.74,2024-10-29 06:00:00,70970.196,70430.603,70430.603,71639.6962873503,69221.5097126497,75.94190262633752,571.9907100081327,408.9737655166829,163.01694449144986,0.5000829021353459,True,False,0.13914285714285715,0.0,0.8608571428571429,0.41841428571428574,-0.7380510313170296,0.123,0.0,0.877,0.3612,-0.999629020690918,85.71428571428571,14.285714285714285,173.89999999999418,-0.014751800468989718,0.016957142857142893,-0.0332964062690736,0.0,85.71428571428571,14.285714285714285,0.0
12,BTC,Bitcoin USD,71082.71,71500.0,69705.76,41397597358.07814,69911.74,69911.74,2024-10-29 07:00:00,71075.68000000001,70564.675,70564.675,71730.97826973734,69398.37173026266,81.14782220610617,587.4623121638142,444.67147484610916,142.79083731770504,0.5044752468331828,True,False,0.17285714285714285,0.0,0.8271428571428572,0.5127,-0.4352647662162781,0.228,0.0,0.772,0.5106,-0.9996243715286256,71.42857142857143,28.57142857142857,-56.46999999998661,0.3027862651007516,0.0942857142857143,4.6491622923694464e-06,0.14940000000000003,71.42857142857143,28.57142857142857,14.285714285714285
13,BTC,Bitcoin USD,70966.7,71500.0,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 08:00:00,71018.316,70655.745,70655.745,71787.21972289731,69524.27027710268,77.9086797990253,583.6348516058642,472.4641501980602,111.17070140780402,0.5068402877334208,True,False,0.14220000000000002,0.0,0.8577999999999999,0.5135400000000001,-0.9762977719306946,0.123,0.0,0.877,0.4738,-0.999629020690918,100.0,0.0,-116.01000000000931,-0.5410330057144165,0.0008400000000000629,-4.6491622923694464e-06,-0.036800000000000055,100.0,0.0,-28.57142857142857
14,BTC,Bitcoin USD,71162.96,71500.0,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 09:00:00,71063.366,70766.941,70766.941,71851.87497572592,69682.00702427409,76.50307112548597,589.6410879025643,495.89953773896104,93.74155016360328,0.5062260764713951,True,False,0.15022222222222223,0.0,0.8497777777777777,0.5024666666666666,-0.7747965719964769,0.154,0.0,0.846,0.5106,-0.9996243715286256,88.88888888888889,11.11111111111111,196.2600000000093,0.20150119993421767,-0.01107333333333349,4.6491622923694464e-06,0.036800000000000055,88.88888888888889,11.11111111111111,11.11111111111111
15,BTC,Bitcoin USD,71202.1,71500.0,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 10:00:00,71110.73000000001,70911.909,70911.909,71754.75792066267,70069.06007933733,76.34683855859312,590.7495512358437,514.8695404383376,75.88001079750609,0.4656862276924382,True,False,0.10157142857142858,0.0,0.8984285714285714,0.36681428571428576,-0.973268483366285,0.111,0.0,0.889,0.3612,-0.999629020690918,100.0,0.0,39.13999999999942,-0.19847191136980813,-0.13565238095238086,-4.6491622923694464e-06,-0.14940000000000003,100.0,0.0,-11.11111111111111
16,BTC,Bitcoin USD,71201.55,71500.0,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 11:00:00,71123.204,71046.7,71046.7,71458.01749164522,70635.38250835477,73.9712258573118,584.8419421523868,528.8640207811475,55.97792137123929,0.4701005456551359,True,False,0.11850000000000001,0.0,0.8815,0.42795000000000005,-0.9688197473684946,0.11699999999999999,0.0,0.883,0.4175,-0.9996266961097717,100.0,0.0,-0.5500000000029104,0.004448735997790387,0.06113571428571429,2.3245811462402344e-06,0.05629999999999996,100.0,0.0,0.0
17,BTC,Bitcoin USD,71409.14,71579.0,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 12:00:00,71188.49,71132.085,71132.085,71428.45763395181,70835.7123660482,73.02840727302434,590.1084940995206,541.1129154448221,48.995578654698534,0.3783552961530885,True,False,0.13985714285714287,0.0,0.8601428571428571,0.43975714285714285,-0.6879729202815464,0.123,0.0,0.877,0.4738,-0.9996243715286256,85.71428571428571,14.285714285714285,207.5899999999965,0.2808468270869482,0.011807142857142794,2.324581146129212e-06,0.05630000000000002,85.71428571428571,14.285714285714285,14.285714285714285
18,BTC,Bitcoin USD,71080.0,71579.0,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 13:00:00,71211.15,71114.73300000001,71114.73300000001,71399.60188197122,70829.8641180288,65.7719519821466,561.253644552693,545.1410612663963,16.11258328629674,0.2712350166880108,True,False,0.109,0.0,0.891,0.3661125,-0.9764753431081772,0.11699999999999999,0.0,0.883,0.3612,-0.9996266961097717,100.0,0.0,-329.1399999999994,-0.28850242282663074,-0.07364464285714284,-2.324581146129212e-06,-0.11259999999999998,100.0,0.0,-14.285714285714285
19,BTC,Bitcoin USD,71523.4,71973.28,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 14:00:00,71283.23800000001,71173.302,71173.302,71528.55241343938,70818.05158656061,75.99077177760691,567.6214559384825,549.6371402008135,17.98431573766902,0.29669821293670634,True,False,0.08366666666666667,0.0,0.9163333333333333,0.2242666666666667,-0.6669052938620249,0.0555,0.0,0.9445,0.1806,-0.999646782875061,83.33333333333334,16.666666666666664,443.3999999999942,0.3095700492461523,-0.1418458333333333,-2.008676528930664e-05,-0.1806,83.33333333333334,16.666666666666664,16.666666666666664
20,BTC,Bitcoin USD,71729.1,72120.1,69705.76,47301738496.0,69911.74,69911.74,2024-10-29 15:00:00,71388.638,71249.68400000001,71249.68400000001,71716.94675817071,70782.4212418293,76.70515062282506,582.5509781816072,556.2199077969723,26.331070384634927,0.3029789106786513,True,False,0.15025,0.0,0.84975,0.52895,-0.9692369699478149,0.1205,0.0,0.8795,0.4738,-0.9971884787082672,100.0,0.0,205.70000000001164,-0.30233167608579004,0.3046833333333333,0.0024583041667938232,0.2932,100.0,0.0,-16.666666666666664
