time,open,close,price,volume,dayHigh,dayLow,SMA_5,SMA_10,RSI,MACD,Signal_Line,MACD_Histogram,vd_positive_mean,vd_negative_mean,vd_neutral_mean,vd_compound_mean,fl_confidence_mean,vd_positive_med,vd_negative_med,vd_neutral_med,vd_compound_med,fl_confidence_med,NEGATIVE,POSITIVE,price_delta,fl_confidence_mean_delta,vd_compound_mean_delta,fl_confidence_med_delta,vd_compound_med_delta,POSITIVE_delta
2024-10-30,72508.29,72515.0,72240.83041666666,1336777812093.6116,73624.98,69705.76,72238.347,72298.577625,48.79127525069283,137.37743916892214,137.74996721091472,-0.3725280419925809,0.11595544554455446,0.0034900990099009906,0.8805792079207921,0.38518168316831686,-0.8670675698483344,0.14200000000000002,0.0,0.858,0.4738,-0.9992646276950836,96.03960396039604,3.9603960396039604,703.5299999999988,-0.06128961159479962,-0.021316853417048975,7.218122482299805e-05,0.11259999999999998,-4.332286887225308
2024-10-31,72364.69,70327.64,71540.48541666666,1027684247173.4851,73060.0,69559.33,71730.91258333334,71912.2375,39.34013292431698,-538.6614348384755,-394.3677727323402,-144.29366210613534,0.10057738095238096,0.014857142857142857,0.8845654761904762,0.2782839285714286,-0.7330107742122242,0.0,0.0,1.0,0.0,-0.9990445971488952,89.28571428571429,10.714285714285714,-700.3450000000012,0.13405679563611028,-0.10689775459688827,0.00022003054618846551,-0.4738,6.753889674681753
2024-11-01,70279.98,69493.18,69668.32583333334,1174491754174.012,72684.02,68720.0,69737.41258333334,69838.18958333334,41.37621401331106,-312.4138660200697,-316.3625372760728,3.948671256003138,0.09507511737089203,0.03382629107981221,0.8710985915492958,0.24198403755868544,-0.748081041613655,0.1205,0.0,0.8795,0.4738,-0.999646782875061,88.26291079812206,11.737089201877934,-1872.1595833333267,-0.015070267401430804,-0.03629989101274314,-0.0006021857261658825,0.4738,1.0228034875922205
2024-11-02,69662.0,69275.84,69523.74416666666,927294508520.1909,71653.0,68720.0,69522.13416666667,69519.82604166666,46.65229674072714,-104.41080534801586,-116.77086175055292,12.360056402537069,0.10345967741935484,0.021725806451612904,0.8747983870967742,0.26077137096774194,-0.6369352963182234,0.123,0.0,0.778,0.4738,-0.9947479367256165,83.06451612903226,16.93548387096774,-144.58166666667967,0.11114574529543153,0.0187873334090565,0.00489884614944458,0.0,5.198394669089806
2024-11-03,69274.09,68722.39,68523.8225,616680121530.1821,70000.0,67100.1,68562.6245,68654.55941666667,38.75329373881409,-71.58888065439533,-196.23665253777472,124.6477718833794,0.10838349514563107,0.026907766990291262,0.8646990291262137,0.21845485436893203,-0.8434955454567103,0.0,0.0,1.0,0.0,-0.9837763011455536,92.71844660194175,7.281553398058252,-999.9216666666616,-0.20656024913848692,-0.04231651659880992,0.010971635580062866,-0.4738,-9.653930472909488
2024-11-04,68570.18,67854.34,68470.01,776623387929.6218,69505.0,66783.77,68575.89866666666,68656.05925,48.59413061881273,-305.61302692715253,-211.12047702404507,-94.49254990310746,0.11480275229357799,0.044550458715596326,0.8406559633027523,0.20404357798165138,-0.7982543507300386,0.0,0.0,1.0,0.0,-0.9953474402427672,90.36697247706422,9.63302752293578,-53.8125,0.04524119472667176,-0.014411276387280653,-0.011571139097213634,0.0,2.3514741248775284
2024-11-05,67823.03,69565.14,68968.66625,1026018161791.9528,70599.0,66783.77,68825.81833333334,68609.03795833334,64.82402085078601,317.8933999707515,320.43163233248896,-2.538232361737471,0.13941628959276017,0.05578280542986426,0.8047239819004525,0.26708235294117644,-0.8313982446269212,0.099,0.0,0.756,0.0,-0.9995487332344056,91.4027149321267,8.597285067873303,498.65625,-0.03314389389688266,0.06303877495952506,-0.004201292991638406,0.0,-1.0357424550624774
2024-11-06,69452.8,75650.96,74066.99625,2388854915001.252,76509.56,67427.53,73525.92416666666,72957.13083333334,69.58970145596523,1250.142844225993,1240.181905243844,9.960938982149171,0.14477070063694267,0.009114649681528662,0.8461146496815287,0.435378025477707,-0.8427129708657599,0.0,0.0,0.911,0.0,-0.9991955161094666,93.94904458598727,6.050955414012739,5098.330000000002,-0.011314726238838668,0.16829567253653055,0.00035321712493907587,0.0,-2.546329653860564
2024-11-07,75429.32,75851.39,75421.69125,2177716649587.8784,76999.0,69371.32,75404.08891666666,75308.00795833334,56.57550696963978,505.9730616556044,518.6775965993053,-12.704534943700878,0.12504659498207885,0.005637992831541218,0.8693154121863799,0.30180035842293906,-0.811011511578782,0.0,0.0,1.0,0.0,-0.9984840750694276,91.0394265232975,8.960573476702509,1354.695000000007,0.03170145928697787,-0.13357766705476792,0.0007114410400389515,0.0,2.90961806268977
2024-11-08,76109.79,76471.14,76204.04833333332,1539208192225.3284,77312.18,74397.0,76157.22658333334,76115.91795833333,55.62884018369166,280.83605183321924,270.5357533683561,10.300298464863149,0.1122846975088968,0.03759074733096086,0.8501245551601423,0.1537594306049822,-0.7629827375513804,0.0,0.0,0.9425,0.0,-0.9994451999664307,88.96797153024912,11.032028469750891,782.3570833333215,0.04802877402740169,-0.14804092781795686,-0.0009611248970030628,0.0,2.0714549930483823
